paper_id,exp_id,combined_id,description,result,refsol,environment
0000.00000,31,0000.00000_31,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.326,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
2205.10664,0,2205.10664_0,"Experiment: Run experiment using DRAIN method on ONP dataset
Parameters:
- learning rate 1e-4
- 10 LSTM layers
- 20 hidden dimension
Return: Test misclassification rate in percent",38.3,"cd classification
mv model_onp.py model.py
python train.py --dataset ONP --learning_rate 1e-4 --num_rnn_layer 10 --hidden_dim 20",drain_env
2205.10664,1,2205.10664_1,"Experiment: Run experiment using DRAIN method on Elec2 dataset
Parameters:
- learning rate 5e-5
- 10 LSTM layers
- 128 hidden dimension
Return: Test misclassification rate in percent",12.7,"cd classification
mv model_elec.py model.py
python train.py --dataset Elec2 --learning_rate 5e-5 --num_rnn_layer 10 --hidden_dim 128",drain_env
2205.10664,2,2205.10664_2,"Experiment: Run experiment using DRAIN method on HousePrice dataset
Parameters:
- learning rate 1e-5
- 10 LSTM layers
- 128 hidden dimension
Return: mean absolute error",9.3,"cd regression
mv model_house.py model.py
python train.py --dataset HousePrice --learning_rate 1e-5 --num_rnn_layer 10 --hidden_dim 128",drain_env
2205.10664,3,2205.10664_3,"Experiment: Run experiment using DRAIN method on 2-Moons dataset
Parameters:
- learning rate 1e-4
- 10 LSTM layers
- 50 hidden dimension
Return: Test misclassification rate",3.2,"cd classification
mv model_moons.py model.py
python train.py --dataset Moons --learning_rate 1e-4 --num_rnn_layer 10 --hidden_dim 50",drain_env
2205.10664,4,2205.10664_4,"Experiment: Run experiment using DRAIN method on Appliancesm energy dataset
Parameters:
- learning rate 1e-5
- 10 LSTM layers
- 128 hidden dimension
Return: mean absolute error",6.4,"cd regression
mv model_energy.py model.py
python train.py --dataset Energy --learning_rate 1e-5 --num_rnn_layer 10 --hidden_dim 128",drain_env
2206.06565,0,2206.06565_0,"Experiment: Run experiment on MNIST dataset using Lenet-5 as the model
Parameters:
- eps 0
Return: test accuracy ",99.22,"cd classification
python run_exps/run_baseline_mnist.py ",lift
2206.06565,1,2206.06565_1,"Experiment: Run experiment on perturbed MNIST dataset using Lenet-5 as the model
Parameters:
- eps 0.01
- Gaussian noise
Return tes accuracy ",99.25,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.01 -t normal",lift
2206.06565,2,2206.06565_2,"Experiment: Run the baseline experiment on perturbed MNIST dataset using Lenet-5 as the model
Parameters:
- model Lenet-5
- dataset MNIST
- eps 0.1
- signed constant noise
Return: test accuracy in percent",99.06,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.1 -t sign",lift
2206.06565,3,2206.06565_3,"Experiment: Run experiment on perturbed MNIST dataset using Lenet-5 as the model
Parameters:
- eps 0.01
- signed constant noise
Return: test accuracy ",99.26,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.01 -t sign",lift
2206.06565,4,2206.06565_4,"Experiment: Run experiment on perturbed MNIST dataset using Lenet-5 as the model
Parameters:
- eps 0.1
- Gaussian noise
Return tes accuracy ",99.2,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.1 -t normal",lift
2206.06565,5,2206.06565_5,"Experiment: Run the baseline experiment on MNIST dataset using MLP as the model
Parameters:
- model MLP
- dataset MNIST
- eps 0
Return: test accuracy in percent",98.09,"cd classification
python run_exps/run_baseline_mnist.py -m mlp",lift
2206.06565,6,2206.06565_6,"Experiment: Run experiment on perturbed MNIST dataset using MLP as the model
Parameters:
- eps 0.01
- Gaussian noise
Return tes accuracy ",98.05,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.01 -t normal -m mlp",lift
2206.06565,7,2206.06565_7,"Experiment: Run experiment on perturbed MNIST dataset using MLP as the model
Parameters:
- eps 0.1
- signed constant noise
Return: test accuracy ",97.39,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.1 -t sign -m mlp",lift
2206.06565,8,2206.06565_8,"Experiment: Run experiment on perturbed MNIST dataset using MLP as the model
Parameters:
- eps 0.01
- signed constant noise
Return: test accuracy ",98.08,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.01 -t sign -m mlp",lift
2206.06565,9,2206.06565_9,"Experiment: Run experiment on perturbed MNIST dataset using MLP as the model
Parameters:
- eps 0.1
- Gaussian noise
Return tes accuracy ",97.7,"cd classification
python run_exps/run_baseline_mnist.py  --eps 0.1 -t normal -m mlp",lift
2209.12288,0,2209.12288_0,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type fea --data 500 --embSize 6",gnn_lp_env
2209.12288,1,2209.12288_1,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.339,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type fea --data 500 --embSize 6
python 3_testing.py --type fea --set test --loss l2 --embSize 6 --data 500 --dataTest 500",gnn_lp_env
2209.12288,2,2209.12288_2,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.454,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type fea --data 100 --embSize 6
python 3_testing.py --type fea --set test --loss l2 --embSize 6 --data 100 --dataTest 100",gnn_lp_env
2209.12288,3,2209.12288_3,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type fea --data 100 --embSize 6",gnn_lp_env
2209.12288,4,2209.12288_4,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.08,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type obj --data 500 --embSize 6",gnn_lp_env
2209.12288,5,2209.12288_5,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 500 data points 
- embedding size 6
- 10000 epochs 
- l2 loss
Return: Testing error rate",0.591,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type obj --data 500 --embSize 6
python 3_testing.py --type obj --set test --loss l2 --embSize 6 --data 500 --dataTest 500",gnn_lp_env
2209.12288,6,2209.12288_6,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.79,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type obj --data 100 --embSize 6
python 3_testing.py --type obj --set test --loss l2 --embSize 6 --data 100 --dataTest 100",gnn_lp_env
2209.12288,7,2209.12288_7,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.0000019,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type obj --data 100 --embSize 6",gnn_lp_env
2209.12288,8,2209.12288_8,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.193,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type sol --data 500 --embSize 16",gnn_lp_env
2209.12288,9,2209.12288_9,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.351,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type sol --data 500 --embSize 16
python 3_testing.py --type sol --set test --loss l2 --embSize 16 --data 500 --dataTest 500",gnn_lp_env
2209.12288,10,2209.12288_10,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.55,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type sol --data 100 --embSize 16
python 3_testing.py --type sol--set test --loss l2 --embSize 16 --data 100 --dataTest 100",gnn_lp_env
2209.12288,11,2209.12288_11,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.141,"python 1_generate_data.py --k_train 2000 --k_test 1000 
python 2_training.py --type sol --data 100 --embSize 16",gnn_lp_env
2209.12288,12,2209.12288_12,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.067,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type fea --data 2500 --embSize 6",gnn_lp_env
2209.12288,13,2209.12288_13,"Experiment: run experiment training a GNN model for finding the feasibility of LP instances
Parameters: 
- feasibility model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.175,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type fea --data 2500 --embSize 6
python 3_testing.py --type fea --set test --loss l2 --embSize 6 --data 2500 --dataTest 2500",gnn_lp_env
2209.12288,14,2209.12288_14,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.128,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type obj --data 2500 --embSize 6",gnn_lp_env
2209.12288,15,2209.12288_15,"Experiment: run experiment training a GNN model for finding the objective of LP instances
Parameters: 
- objective model
- 100 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.173,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type obj --data 2500 --embSize 6
python 3_testing.py --type obj --set test --loss l2 --embSize 6 --data 2500 --dataTest 2500",gnn_lp_env
2209.12288,16,2209.12288_16,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Training error rate",0.205,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type sol --data 2500 --embSize 16",gnn_lp_env
2209.12288,17,2209.12288_17,"Experiment: run experiment training a GNN model for finding the solution of LP instances
Parameters: 
- solution model
- 500 data points 
- embedding size 6
- 10000 epochs 
Return: Testing error rate",0.274,"python 1_generate_data.py --k_train 3000 --k_test 3000
python 2_training.py --type sol --data 2500 --embSize 16
python 3_testing.py --type sol --set test --loss l2 --embSize 16 --data 2500 --dataTest 2500",gnn_lp_env
2210.02041,0,2210.02041_0,"Experiment: run experiment using NCF attacks with Res-18 as attack model and Inception-v3 as defense model
Parameters:
- NCF attack
- Attack model Res-18
- Defense Model Inception-v3
Return: attack success rate",57.7,python main.py,
2210.02041,1,2210.02041_1,"Experiment: run experiment using NCF attacks with Mobilenet-v2 as attack model and  Inception-v3 as defense model
Parameters:
- NCF attack
- Attack model Mobile-v2
- Defense Model Inception-v3
Return: attack success rate",56.8,python main.py,
2210.02041,2,2210.02041_2,"Experiment: run experiment using NCF attacks with Inception-v3 as attack model and Inception-v3 as defense model
Parameters:
- NCF attack
- Attack model Inception-v3
- Defense Model Inception-v3
Return: attack success rate",83.8,python main.py,
2210.02041,6,2210.02041_6,"Experiment: run experiment using NCF attacks with Res-18 as attack model and Res-18 as defense model
Parameters:
- NCF attack
- Attack model Res-18
- Defense Model Res-18
Return: attack success rate",92.9,"# Edit yml file 
python main.py",
2210.02041,7,2210.02041_7,"Experiment: run experiment using NCF attacks with Mobilenet-v2 as attack model and Res-18 as defense model
Parameters:
- NCF attack
- Attack model Mobile-v2
- Defense Model Res-18
Return: attack success rate",72.1,"# Edit yml file 
python main.py",
2210.02041,8,2210.02041_8,"Experiment: run experiment using NCF attacks with Inception-v3 as attack model and Res-18 as defense model
Parameters:
- NCF attack
- Attack model Inception-v3
- Defense Model Res-18
Return: attack success rate",72.7,"# Edit yml file 
python main.py",
2210.02041,12,2210.02041_12,"Experiment: run experiment using NCF attacks with Res-18 as attack model and Mobilenet-v2 as defense model
Parameters:
- NCF attack
- Attack model Res-18
- Defense Model Mobilenet-v2
Return: attack success rate",72.8,"# Edit yml file 
python main.py",
2210.02041,13,2210.02041_13,"Experiment: run experiment using NCF attacks with Mobilenet-v2 as attack model and Mobilenet-v2 as defense model
Parameters:
- NCF attack
- Attack model Mobile-v2
- Defense Model Mobilenet-v2
Return: attack success rate",72.2,"# Edit yml file 
python main.py",
2210.02041,14,2210.02041_14,"Experiment: run experiment using NCF attacks with Inception-v3 as attack model and Mobilenet-v2 as defense model
Parameters:
- NCF attack
- Attack model Inception-v3
- Defense Model Mobilenet-v2
Return: attack success rate",92.7,"# Edit yml file 
python main.py",
2210.02041,18,2210.02041_18,"Experiment: run experiment using NCF attacks with Res-18 as attack model and VGG-19 as defense model
Parameters:
- NCF attack
- Attack model Res-18
- Defense Model VGG-19
Return: attack success rate",73.7,"# Edit yml file 
python main.py",
2210.02041,19,2210.02041_19,"Experiment: run experiment using NCF attacks with Mobilenet-v2 as attack model and VGG-19 as defense model
Parameters:
- NCF attack
- Attack model Mobile-v2
- Defense Model VGG-19
Return: attack success rate",93.3,"# Edit yml file 
python main.py",
2210.02041,20,2210.02041_20,"Experiment: run experiment using NCF attacks with Inception-v3 as attack model andVGG-19 as defense model
Parameters:
- NCF attack
- Attack model Inception-v3
- Defense Model VGG-19
Return: attack success rate",70.3,"# Edit yml file 
python main.py",
2210.02042,3,2210.02042_3,"Experiment: run experiment using NCF attacks with VGG-19 as attack model and Inception-v3 as defense model
Parameters:
- NCF attack
- Attack model VGG-19
- Defense Model Inception-v3
Return: attack success rate",57.7,python main.py,
2210.02042,9,2210.02042_9,"Experiment: run experiment using NCF attacks with VGG-19 as attack model and Res-18 as defense model
Parameters:
- NCF attack
- Attack model VGG-19
- Defense Model Res-18
Return: attack success rate",48.3,"# Edit yml file 
python main.py",
2210.02042,15,2210.02042_15,"Experiment: run experiment using NCF attacks with VGG-19 as attack model and Mobilenet-v2 as defense model
Parameters:
- NCF attack
- Attack model VGG-19
- Defense Model Mobilenet-v2
Return: attack success rate",50,"# Edit yml file 
python main.py",
2210.02042,21,2210.02042_21,"Experiment: run experiment using NCF attacks with VGG-19 as attack model and VGG-19 as defense model
Parameters:
- NCF attack
- Attack model VGG-19
- Defense Model VGG-19
Return: attack success rate",49.4,"# Edit yml file 
python main.py",
2210.02043,4,2210.02043_4,"Experiment: run experiment using NCF attacks with Dense-121 as attack model and  Inception-v3 as defense model
Parameters:
- NCF attack
- Attack model Dense-121
- Defense Model Inception-v3
Return: attack success rate",40.1,python main.py,
2210.02043,10,2210.02043_10,"Experiment: run experiment using NCF attacks with Dense-121 as attack model and Res-18 as defense model
Parameters:
- NCF attack
- Attack model Dense-121
- Defense Model Res-18
Return: attack success rate",55.3,"# Edit yml file 
python main.py",
